body,total_user_messages,story,chat_link,created_at,stop_logic_data,message_type_text,full_name,last_nodes
Atm,3,Nearby Atm Details,https://api.haptikapi.com//user_info/3702619/#id_15221419_434,2018-01-25T05:35Z,False_continue,regular,Guest User,[u'NEARBY_ATM']
"More options{attempt: 2, api_name: nearby_api , places_type: ATM}",1,Nearby General Task,https://api.haptikapi.com//user_info/3702619/#id_15221419_435,2018-01-25T05:37Z,False_continue,regular,Guest User,[u'NEARBY_TASK']
"More options{attempt: 3, api_name: nearby_api , places_type: ATM}",1,Nearby General Task,https://api.haptikapi.com//user_info/3702619/#id_15221419_436,2018-01-25T05:38Z,False_continue,regular,Guest User,[u'NEARBY_TASK']
Chemists,3,No Story,https://api.haptikapi.com//user_info/4147793/#id_16504776_19,2018-01-25T07:13Z,True_no_nodes,regular,Guest User,[u'No Nodes']
"Hey, can you find me the nearest petrol pump?{task}",2,Nearby Gas,https://api.haptikapi.com//user_info/4147793/#id_16504776_20,2018-01-25T09:03Z,False_continue,regular,Guest User,[u'NEARBY_GAS']
"Hey user has shared the location with us, please refresh the current location on left hand side to see the updated location {note}",3,Nearby Pharmacy,https://api.haptikapi.com//user_info/4274867/#id_16750290_1,2018-01-25T10:26Z,True_nothing_changed,app_location,Guest User,[u'NEARBY_PHARMACY']
"Hey, can you fine me the nearest medical store?{task}",4,Nearby Pharmacy,https://api.haptikapi.com//user_info/4242517/#id_16686655_2,2018-01-25T10:24Z,False_continue,regular,Guest User,[u'NEARBY_PHARMACY']
"Hey, can you fine me the nearest medical store?{task}",4,Nearby Pharmacy,https://api.haptikapi.com//user_info/4242517/#id_16686655_2,2018-01-25T10:24Z,False_continue,regular,Guest User,[u'NEARBY_PHARMACY']
location,4,No Story,https://api.haptikapi.com//user_info/4242517/#id_16686655_2,2018-01-25T10:23Z,True_no_nodes,regular,Guest User,[u'No Nodes']
"Hey, can you find me the nearest petrol pump?{task}",3,Nearby Gas,https://api.haptikapi.com//user_info/4147793/#id_16504776_19,2018-01-25T07:13Z,False_continue,regular,Guest User,[u'NEARBY_GAS']
"Hey, can you find me the nearest ATM?{task}",3,Nearby Atm Details,https://api.haptikapi.com//user_info/4147793/#id_16504776_19,2018-01-25T07:13Z,False_continue,regular,Guest User,[u'NEARBY_ATM']
help,3,No Story,https://api.haptikapi.com//user_info/3702619/#id_15221419_434,2018-01-25T05:35Z,True_Smalltalk_no_nodes,regular,Guest User,[u'No Nodes']
"Hey, can you find me the nearest ATM?{task}",5,Nearby Atm Details,https://api.haptikapi.com//user_info/4270901/#id_16743794_1,2018-01-25T06:49Z,False_continue,regular,Guest User,[u'NEARBY_ATM']
"Hey user has shared the location with us, please refresh the current location on left hand side to see the updated location {note}",5,Nearby Atm Details,https://api.haptikapi.com//user_info/4270901/#id_16743794_1,2018-01-25T06:50Z,True_nothing_changed,app_location,Guest User,[u'NEARBY_ATM']
B),2,Nearby Gas,https://api.haptikapi.com//user_info/4147793/#id_16504776_20,2018-01-25T09:03Z,False_continue,regular,Guest User,[u'NEARBY_GAS']
location,3,No Story,https://api.haptikapi.com//user_info/4274867/#id_16750290_1,2018-01-25T10:26Z,True_no_nodes,regular,Guest User,[u'No Nodes']
"Hey, can you fine me the nearest medical store?{task}",3,Nearby Pharmacy,https://api.haptikapi.com//user_info/4274867/#id_16750290_1,2018-01-25T10:26Z,False_continue,regular,Guest User,[u'NEARBY_PHARMACY']
"Hey user has shared the location with us, please refresh the current location on left hand side to see the updated location {note}",3,Nearby Atm Details,https://api.haptikapi.com//user_info/3702619/#id_15221419_434,2018-01-25T05:35Z,False_continue,app_location,Guest User,[u'NEARBY_ATM']
help,5,No Story,https://api.haptikapi.com//user_info/4270901/#id_16743794_1,2018-01-25T06:49Z,True_Smalltalk_no_nodes,regular,Guest User,[u'No Nodes']
Shops,5,No Story,https://api.haptikapi.com//user_info/4270901/#id_16743794_1,2018-01-25T06:49Z,True_outlier,regular,Guest User,[u'No Nodes']
Show me new chemistts,5,No Story,https://api.haptikapi.com//user_info/4270901/#id_16743794_1,2018-01-25T06:49Z,True_no_nodes,regular,Guest User,[u'No Nodes']
"Hey user has shared the location with us, please refresh the current location on left hand side to see the updated location {note}",4,Nearby Pharmacy,https://api.haptikapi.com//user_info/4242517/#id_16686655_2,2018-01-25T10:24Z,True_nothing_changed,app_location,Guest User,[u'NEARBY_PHARMACY']
"Hey, can you find me the nearest ATM?{task}",2,Nearby Atm Details,https://api.haptikapi.com//user_info/4244414/#id_16744874_1,2018-01-25T07:18Z,False_continue,regular,ragul,[u'NEARBY_ATM']
Chabag,2,Nearby Bus Stops,https://api.haptikapi.com//user_info/4244140/#id_16690859_2,2018-01-25T03:16Z,,regular,bhupendra,[u'NEARBY_BUS_STOP']
"Hey, can you find me the nearest Bus Stop?{task}",2,Nearby Bus Stops,https://api.haptikapi.com//user_info/4244140/#id_16690859_2,2018-01-25T03:16Z,False_continue,regular,bhupendra,[u'NEARBY_BUS_STOP']
"Hey user has shared the location with us, please refresh the current location on left hand side to see the updated location {note}",2,Nearby Atm Details,https://api.haptikapi.com//user_info/4244414/#id_16744874_1,2018-01-25T07:18Z,False_continue,app_location,ragul,[u'NEARBY_ATM']
"Hey, can you find me the nearest ATM?{task}",3,Nearby Atm Details,https://api.haptikapi.com//user_info/4261871/#id_16728731_1,2018-01-24T20:23Z,False_continue,regular,Vrajesh,[u'NEARBY_ATM']
"Hey User hasn't given location permission to us. Ask him if he is facing difficulty in
    switching on location services {note}",3,Nearby Atm Details,https://api.haptikapi.com//user_info/4261871/#id_16728731_1,2018-01-24T20:23Z,False_reply_without_graphflow,app_location,Vrajesh,[u'NEARBY_ATM']
"Hey User hasn't given location permission to us. Ask him if he is facing difficulty in
    switching on location services {note}",3,Nearby Atm Details,https://api.haptikapi.com//user_info/4261871/#id_16728731_1,2018-01-24T20:24Z,False_reply_without_graphflow,app_location,Vrajesh,[u'NEARBY_ATM']
Interesting! What after this?,16,Savings Story,https://api.haptikapi.com//user_info/4259372/#id_16730688_2,2018-01-25T03:21Z,False_continue,regular,Nafis,[u'STEP_TWO']
Hmm… then what?,16,Savings Story,https://api.haptikapi.com//user_info/4259372/#id_16730688_2,2018-01-25T03:22Z,False_continue,regular,Nafis,[u'STEP_SIX']
What did the king do?,16,Savings Story,https://api.haptikapi.com//user_info/4259372/#id_16730688_2,2018-01-25T03:21Z,False_continue,regular,Nafis,[u'STEP_FIVE']
i want to search for a location{task},3,Nearby General Task,https://api.haptikapi.com//user_info/4262560/#id_16729997_1,2018-01-25T02:20Z,False_continue,regular,Minaz,[u'NEARBY_TASK']
{emoticon}{thumbsup},1,No Story,https://api.haptikapi.com//user_info/4262560/#id_16729997_2,2018-01-25T02:21Z,True_Casual_no_nodes,regular,Minaz,[u'No Nodes']
"Hey, can you find me the nearest petrol pump?{task}",2,Nearby Gas,https://api.haptikapi.com//user_info/4266572/#id_16736026_1,2018-01-25T04:49Z,False_continue,regular,Sathish,[u'NEARBY_GAS']
i want to search for a location{task},3,Nearby General Task,https://api.haptikapi.com//user_info/4272249/#id_16746114_1,2018-01-25T07:56Z,False_continue,regular,Suraj,[u'NEARBY_TASK']
"More
Nearby: Railway Station",2,Nearby Railway Stations,https://api.haptikapi.com//user_info/4272249/#id_16746114_4,2018-01-25T08:00Z,False_continue,auto_form_reply,Suraj,[u'NEARBY_RAILWAY']
i want to search for a location{task},5,Nearby General Task,https://api.haptikapi.com//user_info/4271064/#id_16744093_1,2018-01-25T06:57Z,False_continue,regular,Harsh,[u'NEARBY_TASK']
Interesting! What after this?,16,Savings Story,https://api.haptikapi.com//user_info/4259372/#id_16730688_2,2018-01-25T03:20Z,False_continue,regular,Nafis,[u'STEP_TWO']
Cool,16,Savings Story,https://api.haptikapi.com//user_info/4259372/#id_16730688_2,2018-01-25T03:21Z,True_nothing_changed,regular,Nafis,[u'STEP_TWO']
Tell me another story,16,Savings Story,https://api.haptikapi.com//user_info/4259372/#id_16730688_2,2018-01-25T03:24Z,False_continue,regular,Nafis,[u'STEP_11A']
What happened finally?,16,Savings Story,https://api.haptikapi.com//user_info/4259372/#id_16730688_2,2018-01-25T03:23Z,False_continue,regular,Nafis,[u'STEP_TEN']
"More
Nearby: Gym",5,Nearby Gym,https://api.haptikapi.com//user_info/4271064/#id_16744093_1,2018-01-25T06:57Z,False_continue,auto_form_reply,Harsh,[u'NEARBY_GYM']
"Hey, can you find me the nearest ATM?{task}",2,Nearby Atm Details,https://api.haptikapi.com//user_info/4269854/#id_16742473_1,2018-01-25T06:17Z,False_continue,regular,Jayram,[u'NEARBY_ATM']
"Hey, can you find me the nearest petrol pump?{task}",1,Nearby Gas,https://api.haptikapi.com//user_info/4271947/#id_16745461_1,2018-01-25T07:35Z,False_continue,regular,Yatin,[u'NEARBY_GAS']
"More
Nearby: Gym",3,Nearby Gym,https://api.haptikapi.com//user_info/4272249/#id_16746114_1,2018-01-25T07:56Z,False_continue,auto_form_reply,Suraj,[u'NEARBY_GYM']
"Hey user has shared the location with us, please refresh the current location on left hand side to see the updated location {note}",3,Nearby Gym,https://api.haptikapi.com//user_info/4272249/#id_16746114_1,2018-01-25T07:56Z,False_continue,app_location,Suraj,[u'NEARBY_GYM']
{emoticon}{thumbsup},4,No Story,https://api.haptikapi.com//user_info/4272249/#id_16746114_2,2018-01-25T07:58Z,True_Casual_no_nodes,regular,Suraj,[u'No Nodes']
i want to search for a location{task},2,Nearby General Task,https://api.haptikapi.com//user_info/4272249/#id_16746114_4,2018-01-25T08:00Z,False_continue,regular,Suraj,[u'NEARBY_TASK']
"Hey user has shared the location with us, please refresh the current location on left hand side to see the updated location {note}",2,Nearby Atm Details,https://api.haptikapi.com//user_info/4259372/#id_16730688_1,2018-01-25T03:20Z,False_continue,app_location,Nafis,[u'NEARBY_ATM']
Keep Going!,16,Savings Story,https://api.haptikapi.com//user_info/4259372/#id_16730688_2,2018-01-25T03:22Z,False_continue,regular,Nafis,[u'STEP_SEVEN']
Due u also provide news,16,Savings Story,https://api.haptikapi.com//user_info/4259372/#id_16730688_2,2018-01-25T03:24Z,True_nothing_changed,regular,Nafis,[u'STEP_11A']
"Hey user has shared the location with us, please refresh the current location on left hand side to see the updated location {note}",2,Nearby Gas,https://api.haptikapi.com//user_info/4266572/#id_16736026_1,2018-01-25T04:49Z,False_continue,app_location,Sathish,[u'NEARBY_GAS']
"Hey, can you find me the nearest Bus Stop?{task}",1,Nearby Bus Stops,https://api.haptikapi.com//user_info/4272249/#id_16746114_3,2018-01-25T07:59Z,False_continue,regular,Suraj,[u'NEARBY_BUS_STOP']
"Hey, can you find me the nearest ATM?{task}",4,Nearby Atm Details,https://api.haptikapi.com//user_info/4272249/#id_16746114_2,2018-01-25T07:59Z,False_continue,regular,Suraj,[u'NEARBY_ATM']
{emoticon}{thumbsup},1,No Story,https://api.haptikapi.com//user_info/4266572/#id_16736026_2,2018-01-25T04:50Z,True_Casual_no_nodes,regular,Sathish,[u'No Nodes']
i want to search for a location{task},5,Nearby General Task,https://api.haptikapi.com//user_info/4271064/#id_16744093_1,2018-01-25T06:57Z,False_continue,regular,Harsh,[u'NEARBY_TASK']
"💡 Tell me a story{task}{attempt: 2, api_name: nearby_api , places_type: ATM}",16,Savings Story,https://api.haptikapi.com//user_info/4259372/#id_16730688_2,2018-01-25T03:20Z,False_continue,regular,Nafis,[u'STEP_TWO_A']
Continue the story,16,Savings Story,https://api.haptikapi.com//user_info/4259372/#id_16730688_2,2018-01-25T03:21Z,False_continue,regular,Nafis,[u'STEP_TWO_A']
"Hey, can you find me the nearest ATM?{task}",2,Nearby Atm Details,https://api.haptikapi.com//user_info/4263074/#id_16730886_1,2018-01-25T03:36Z,False_continue,regular,Karan,[u'NEARBY_ATM']
"Hey user has shared the location with us, please refresh the current location on left hand side to see the updated location {note}",2,Nearby Atm Details,https://api.haptikapi.com//user_info/4263074/#id_16730886_1,2018-01-25T03:36Z,False_continue,app_location,Karan,[u'NEARBY_ATM']
"More
Nearby: Beauty Salon",3,Nearby Beauty Salon,https://api.haptikapi.com//user_info/4262560/#id_16729997_1,2018-01-25T02:20Z,False_continue,auto_form_reply,Minaz,[u'NEARBY_BEAUTY_SALON']
"Hey User hasn't given location permission to us. Ask him if he is facing difficulty in
    switching on location services {note}",5,Nearby Gym,https://api.haptikapi.com//user_info/4271064/#id_16744093_1,2018-01-25T06:58Z,False_reply_without_graphflow,app_location,Harsh,[u'NEARBY_GYM']
I'm looking for the nearest ATM!,2,Nearby Atm Details,https://api.haptikapi.com//user_info/4269854/#id_16742473_1,2018-01-25T06:18Z,False_continue,banner_tap,Jayram,[u'NEARBY_ATM']
"More
Nearby: Bus Stop",4,Nearby Bus Stops,https://api.haptikapi.com//user_info/4272249/#id_16746114_2,2018-01-25T07:59Z,False_continue,auto_form_reply,Suraj,[u'NEARBY_BUS_STOP']
i want to search for a location{task},4,Nearby General Task,https://api.haptikapi.com//user_info/4272249/#id_16746114_2,2018-01-25T07:59Z,False_continue,regular,Suraj,[u'NEARBY_TASK']
I'm looking for the nearest ATM!,3,Nearby Atm Details,https://api.haptikapi.com//user_info/4257567/#id_16748626_1,2018-01-25T09:24Z,False_continue,banner_tap,Pratik,[u'NEARBY_ATM']
"Hey, can you find me the nearest ATM?{task}",2,Nearby Atm Details,https://api.haptikapi.com//user_info/4259372/#id_16730688_1,2018-01-25T03:19Z,False_continue,regular,Nafis,[u'NEARBY_ATM']
"Ok, Thanks",16,Savings Story,https://api.haptikapi.com//user_info/4259372/#id_16730688_2,2018-01-25T03:24Z,True_Smalltalk_nothing_changed,regular,Nafis,[u'STEP_11A']
Woah! That’s interesting.,16,Savings Story,https://api.haptikapi.com//user_info/4259372/#id_16730688_2,2018-01-25T03:22Z,False_continue,regular,Nafis,[u'STEP_EIGHT']
Moral of the story,16,Savings Story,https://api.haptikapi.com//user_info/4259372/#id_16730688_2,2018-01-25T03:23Z,False_continue,regular,Nafis,[u'STEP_ELEVEN']
Wow! Then what?,16,Savings Story,https://api.haptikapi.com//user_info/4259372/#id_16730688_2,2018-01-25T03:21Z,False_continue,regular,Nafis,[u'STEP_THREE']
Nice! What did he ask?,16,Savings Story,https://api.haptikapi.com//user_info/4259372/#id_16730688_2,2018-01-25T03:21Z,False_continue,regular,Nafis,[u'STEP_FOUR']
"Hey user has shared the location with us, please refresh the current location on left hand side to see the updated location {note}",3,Nearby Beauty Salon,https://api.haptikapi.com//user_info/4262560/#id_16729997_1,2018-01-25T02:21Z,False_continue,app_location,Minaz,[u'NEARBY_BEAUTY_SALON']
"Hey, can you find me the nearest ATM?{task}",1,Nearby Atm Details,https://api.haptikapi.com//user_info/4268246/#id_16739394_1,2018-01-25T05:22Z,False_continue,regular,Hardik,[u'NEARBY_ATM']
"More
Nearby: Beauty Salon",5,Nearby Beauty Salon,https://api.haptikapi.com//user_info/4271064/#id_16744093_1,2018-01-25T06:57Z,False_continue,auto_form_reply,Harsh,[u'NEARBY_BEAUTY_SALON']
"Hey user has shared the location with us, please refresh the current location on left hand side to see the updated location {note}",3,Nearby Atm Details,https://api.haptikapi.com//user_info/4257567/#id_16748626_1,2018-01-25T09:24Z,False_continue,app_location,Pratik,[u'NEARBY_ATM']
"Hey, can you find me the nearest ATM?{task}",3,Nearby Atm Details,https://api.haptikapi.com//user_info/4257567/#id_16748626_1,2018-01-25T09:24Z,False_continue,regular,Pratik,[u'NEARBY_ATM']
"More
Nearby: Hospital",2,Nearby Hospital,https://api.haptikapi.com//user_info/4261833/#id_16728604_6,2018-01-24T20:15Z,False_continue,auto_form_reply,Susovan Maiti,[u'NEARBY_HOSPITAL']
i want to search for a location{task},3,Nearby General Task,https://api.haptikapi.com//user_info/4261833/#id_16728604_4,2018-01-24T20:13Z,False_continue,regular,Susovan Maiti,[u'NEARBY_TASK']
Woah! That’s interesting.,11,Savings Story,https://api.haptikapi.com//user_info/3426371/#id_16727806_2,2018-01-24T18:37Z,False_continue,regular,Guest ,[u'STEP_EIGHT']
Interesting! What after this?,11,Savings Story,https://api.haptikapi.com//user_info/3426371/#id_16727806_2,2018-01-24T18:35Z,False_continue,regular,Guest ,[u'STEP_TWO']
Nice! What did he ask?,11,Savings Story,https://api.haptikapi.com//user_info/3426371/#id_16727806_2,2018-01-24T18:36Z,False_continue,regular,Guest ,[u'STEP_FOUR']
Moral of the story,11,Savings Story,https://api.haptikapi.com//user_info/3426371/#id_16727806_2,2018-01-24T18:38Z,False_continue,regular,Guest ,[u'STEP_ELEVEN']
{emoticon}{thumbsup},2,Nearby General Task,https://api.haptikapi.com//user_info/4261236/#id_16727483_3,2018-01-24T18:11Z,True_Casual_nothing_changed,regular,Md Mozammil Ansary,[u'NEARBY_TASK']
"More options{attempt: 2, api_name: nearby_api , places_type: ATM}",1,Nearby General Task,https://api.haptikapi.com//user_info/3830299/#id_16727571_2,2018-01-24T18:14Z,False_continue,regular,Pranav Chitrans,[u'NEARBY_TASK']
Restraunt,3,No Story,https://api.haptikapi.com//user_info/3830299/#id_16727571_3,2018-01-24T18:15Z,True_no_nodes,regular,Pranav Chitrans,[u'No Nodes']
Ok,4,Nearby Gas,https://api.haptikapi.com//user_info/4261319/#id_16727721_1,2018-01-24T18:25Z,True_Casual_nothing_changed,regular,Prateek Rajput,[u'NEARBY_GAS']
"Hey User hasn't given location permission to us. Ask him if he is facing difficulty in
    switching on location services {note}",4,Nearby Night Club,https://api.haptikapi.com//user_info/4261981/#id_16728974_1,2018-01-24T21:52Z,False_reply_without_graphflow,app_location,Agranya Kumar,[u'NEARBY_NIGHT_CLUB']
i want to search for a location{task},4,Nearby General Task,https://api.haptikapi.com//user_info/4261981/#id_16728974_1,2018-01-24T21:51Z,False_continue,regular,Agranya Kumar,[u'NEARBY_TASK']
"Hey, I'm looking for the nearest ATM!{task} ",1,Nearby Atm Details,https://api.haptikapi.com//user_info/4261845/#id_16728668_1,2018-01-24T20:09Z,False_continue,carousel_message,Shine ,[u'NEARBY_ATM']
"Hi, I am interested in Salon and Beauty Offers{task}",2,OFFERS,https://api.haptikapi.com//user_info/4261955/#id_16728922_1,2018-01-24T21:25Z,False_continue,regular,Pradeep ,[u'SPA_OFFERS_VLCC']
{emoticon}{thumbsup},6,No Story,https://api.haptikapi.com//user_info/4262066/#id_16729130_1,2018-01-24T23:30Z,True_Casual_no_nodes,regular,Kuna ,[u'No Nodes']
i want to search for a location{task},2,Nearby General Task,https://api.haptikapi.com//user_info/4261733/#id_16728424_3,2018-01-24T21:29Z,False_continue,regular,Figo ,[u'NEARBY_TASK']
No need,1,No Story,https://api.haptikapi.com//user_info/3799969/#id_16676596_3,2018-01-24T22:52Z,False_general,regular,Leena Saw,[u'NEARBY_USER_NOT_INTERESTED']
"Hey, can you find me the nearest Bus Stop?{task}",1,Nearby Bus Stops,https://api.haptikapi.com//user_info/3510887/#id_16728911_1,2018-01-24T21:20Z,False_continue,regular,Krishna Jadon,[u'NEARBY_BUS_STOP']
Good night,3,No Story,https://api.haptikapi.com//user_info/4261833/#id_16728604_7,2018-01-24T20:18Z,True_Casual_no_nodes,regular,Susovan Maiti,[u'No Nodes']
KUNA,6,No Story,https://api.haptikapi.com//user_info/4262066/#id_16729130_1,2018-01-24T23:30Z,True_no_nodes,regular,Kuna ,[u'No Nodes']
{emoticon}{thumbsup},2,Nearby Gas,https://api.haptikapi.com//user_info/4261661/#id_16728334_1,2018-01-24T19:19Z,True_Casual_nothing_changed,regular,Mahipal ,[u'NEARBY_GAS']
"Hey, I'm looking for the nearest ATM!{task} ",2,Nearby Atm Details,https://api.haptikapi.com//user_info/4261236/#id_16727483_2,2018-01-24T18:11Z,False_continue,carousel_message,Md Mozammil Ansary,[u'NEARBY_ATM']
"More options{attempt: 2, api_name: nearby_api , places_type: ATM}",2,Nearby General Task,https://api.haptikapi.com//user_info/4261236/#id_16727483_3,2018-01-24T18:11Z,False_continue,regular,Md Mozammil Ansary,[u'NEARBY_TASK']
"Hey, can you find me the nearest ATM?{task}",3,Nearby Atm Details,https://api.haptikapi.com//user_info/3830299/#id_16727571_1,2018-01-24T18:13Z,False_continue,regular,Pranav Chitrans,[u'NEARBY_ATM']
"Hey, can you fine me the nearest medical store?{task} ",1,Nearby Pharmacy,https://api.haptikapi.com//user_info/3830299/#id_16727571_4,2018-01-24T18:15Z,False_continue,carousel_message,Pranav Chitrans,[u'NEARBY_PHARMACY']
"More
Nearby: Brothel",2,Nearby General Task,https://api.haptikapi.com//user_info/4261289/#id_16727589_2,2018-01-24T18:16Z,False_continue,auto_form_reply,Sameer Srivastava,[u'NEARBY_TASK']
{emoticon}{thumbsup},3,No Story,https://api.haptikapi.com//user_info/3830299/#id_16727571_3,2018-01-24T18:14Z,True_Casual_no_nodes,regular,Pranav Chitrans,[u'No Nodes']
Ok,5,Nearby General Task,https://api.haptikapi.com//user_info/4261289/#id_16727589_1,2018-01-24T18:16Z,True_Casual_nothing_changed,regular,Sameer Srivastava,[u'NEARBY_TASK']
i want to search for a location{task},5,Nearby General Task,https://api.haptikapi.com//user_info/4261289/#id_16727589_1,2018-01-24T18:15Z,False_continue,regular,Sameer Srivastava,[u'NEARBY_TASK']
